застройщик,название_жк,город,район_адрес,ссылка_жк,ссылка_квартира,комнат,площадь_м2,цена_полная_тг,цена_за_м2_тг,этаж,дом_блок_секция,срок_сдачи,статус,отделка,класс_жилья,условия_покупки,дата_парсинга,источник
BI Group,BI Plaza,Астана,"Есиль, пр. Туран 24",https://bi.group/ru/complex/bi-plaza/,https://bi.group/ru/complex/bi-plaza/plans/?flat=10201,1,38.4,18432000.0,480000.0,7/24,Блок А,Q4 2025,доступно,чистовая,комфорт,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,BI Plaza,Астана,"Есиль, пр. Туран 24",https://bi.group/ru/complex/bi-plaza/,https://bi.group/ru/complex/bi-plaza/plans/?flat=10202,2,62.1,30429000.0,490000.0,10/24,Блок А,Q4 2025,доступно,чистовая,комфорт,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,BI Plaza,Астана,"Есиль, пр. Туран 24",https://bi.group/ru/complex/bi-plaza/,https://bi.group/ru/complex/bi-plaza/plans/?flat=10203,3,88.7,43463000.0,490000.0,5/24,Блок Б,Q4 2025,доступно,черновая,комфорт,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,BI City 2,Астана,"Алматинский, ул. Богенбай батыра 28",https://bi.group/ru/complex/bi-city-2/,https://bi.group/ru/complex/bi-city-2/plans/?flat=20101,1,34.2,13338000.0,390000.0,3/16,Секция 1,Q2 2026,доступно,черновая,эконом,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,BI City 2,Астана,"Алматинский, ул. Богенбай батыра 28",https://bi.group/ru/complex/bi-city-2/,https://bi.group/ru/complex/bi-city-2/plans/?flat=20102,2,55.8,21762000.0,390000.0,8/16,Секция 2,Q2 2026,доступно,черновая,эконом,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,BI City 2,Астана,"Алматинский, ул. Богенбай батыра 28",https://bi.group/ru/complex/bi-city-2/,https://bi.group/ru/complex/bi-city-2/plans/?flat=20103,3,79.4,30962000.0,390000.0,12/16,Секция 3,Q2 2026,доступно,черновая,эконом,"ипотека, рассрочка 0%",2026-05-27 17:14:15,bi.group
BI Group,Alatau City,Астана,"Есиль, пр. Кабанбай батыра 58",https://bi.group/ru/complex/alatau-city/,https://bi.group/ru/complex/alatau-city/plans/?flat=30101,1,42.5,27625000.0,650000.0,15/30,Tower A,Q1 2027,доступно,дизайнерская,бизнес,"ипотека, рассрочка",2026-05-27 17:14:15,bi.group
BI Group,Alatau City,Астана,"Есиль, пр. Кабанбай батыра 58",https://bi.group/ru/complex/alatau-city/,https://bi.group/ru/complex/alatau-city/plans/?flat=30102,2,71.8,46670000.0,650000.0,20/30,Tower B,Q1 2027,доступно,дизайнерская,бизнес,"ипотека, рассрочка",2026-05-27 17:14:15,bi.group
Qazaqstroy,Triumph,Астана,"Байконур, ул. Сарыарка 26",https://qazaqstroy.kz/ru/kompleksy/triumph,https://qazaqstroy.kz/ru/kvartiry/triumph-1k-35m2,1,35.0,12250000.0,350000.0,4/18,Дом 1,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы банк, рассрочка 24 мес",2026-05-27 17:14:15,qazaqstroy.kz
Qazaqstroy,Triumph,Астана,"Байконур, ул. Сарыарка 26",https://qazaqstroy.kz/ru/kompleksy/triumph,https://qazaqstroy.kz/ru/kvartiry/triumph-2k-58m2,2,58.0,20300000.0,350000.0,6/18,Дом 1,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы банк, рассрочка 24 мес",2026-05-27 17:14:15,qazaqstroy.kz
Qazaqstroy,Triumph,Астана,"Байконур, ул. Сарыарка 26",https://qazaqstroy.kz/ru/kompleksy/triumph,https://qazaqstroy.kz/ru/kvartiry/triumph-3k-82m2,3,82.0,28700000.0,350000.0,9/18,Дом 2,Q3 2025,сдан,черновая,эконом,"ипотека Отбасы банк, рассрочка 24 мес",2026-05-27 17:14:15,qazaqstroy.kz
Qazaqstroy,Astra,Астана,"Алматинский, пр. Республики 14",https://qazaqstroy.kz/ru/kompleksy/astra,https://qazaqstroy.kz/ru/kvartiry/astra-1k-40m2,1,40.0,16000000.0,400000.0,5/20,Блок 1,Q4 2026,строится,чистовая,комфорт,"ипотека, рассрочка до сдачи",2026-05-27 17:14:15,qazaqstroy.kz
Qazaqstroy,Astra,Астана,"Алматинский, пр. Республики 14",https://qazaqstroy.kz/ru/kompleksy/astra,https://qazaqstroy.kz/ru/kvartiry/astra-2k-65m2,2,65.0,26650000.0,410000.0,10/20,Блок 2,Q4 2026,строится,чистовая,комфорт,"ипотека, рассрочка до сдачи",2026-05-27 17:14:15,qazaqstroy.kz
Sensata,Sensata Residence,Астана,"Есиль, Дипломатический городок, ул. Иманова 32",https://sensata.kz/,https://sensata.kz/#apartments,1,49.2,42312000.0,860000.0,10/14,Башня А,Q2 2027,строится,дизайнерская,бизнес-элит,"ипотека, рассрочка 50%+50% при сдаче",2026-05-27 17:14:15,sensata.kz
